feature_index,SPI-1,SPI-2,ks_statistic,n_CML,n_VAR(1)
264,cov_GraphicalLasso,bary_euclidean_mean,0.05276625172890733,241,240
265,cov_GraphicalLasso,bary_euclidean_max,0.017984439433745954,241,240
266,cov_GraphicalLasso,bary-sq_euclidean_mean,0.530539908224787,241,240
267,cov_GraphicalLasso,bary-sq_euclidean_max,0.391598209363427,241,240
268,cov_GraphicalLasso,gwtau,0.11115169852022333,241,240
269,cov_GraphicalLasso,anm,0.09570757213254766,241,240
270,cov_GraphicalLasso,cds,0.14405025684680073,241,240
271,cov_GraphicalLasso,reci,0.05717967804037227,241,240
272,cov_GraphicalLasso,igci,0.07318464730290457,241,240
273,cov_GraphicalLasso,je_gaussian,0.6528132265836266,241,240
274,cov_GraphicalLasso,je_kozachenko,0.3946943231383152,241,240
275,cov_GraphicalLasso,je_kernel_W-0.5,0.6281143638598393,241,240
276,cov_GraphicalLasso,ce_gaussian,0.6528132265836266,241,240
277,cov_GraphicalLasso,ce_kernel_W-0.5,0.6407633484760886,241,240
